,timestamp,value,pressure
94866,1421776800,2454,1011.07
94867,1421780400,2458,1011.44
94868,1421784000,2460,1011.54
94869,1421787600,2549,1011.27
94870,1421791200,2433,1011.17
94871,1421794800,2505,1011.17
94872,1421798400,2455,1011.17
94873,1421802000,2505,1010.7
94874,1421805600,2465,1010.36
94875,1421809200,2504,1010.26
94876,1421812800,2476,1010.39
94877,1421816400,2461,1010.46
94878,1421820000,2450,1010.53
94879,1421823600,2433,1010.7
94880,1421827200,2526,1011.17
94881,1421830800,2464,1011.58
94882,1421834400,2447,1011.68
94883,1421838000,2501,1011.61
94884,1421841600,2475,1011.21
94885,1421845200,2459,1010.93
94886,1421848800,2488,1010.93
94887,1421852400,2405,1011.07
94888,1421856000,2545,1011.31
94889,1421859600,2471,1011.71
94890,1421863200,2494,1012.19
94891,1421866800,2339,1012.63
94892,1421870400,2405,1013.03
94893,1421874000,2428,1013.47
94894,1421877600,2260,1013.78
94895,1421881200,2430,1014.63
94896,1421884800,2433,1014.63
94897,1421888400,2432,1014.69
94898,1421892000,2382,1015.07
94899,1421895600,2371,1015.2
94900,1421899200,2321,1015.17
94901,1421902800,2389,1015.78
94902,1421906400,2398,1016.22
94903,1421910000,2438,1016.72
94904,1421913600,2378,1017.4
94905,1421917200,2354,1018.28
94906,1421920800,2368,1018.69
94907,1421924400,2397,1019.06
94908,1421928000,2340,1019.03
94909,1421931600,2355,1018.86
94910,1421935200,2349,1018.93
94911,1421938800,2359,1019.71
94912,1421942400,2322,1020.18
94913,1421946000,2381,1020.55
94914,1421949600,2412,1021.33
94915,1421953200,2303,1022.14
94916,1421956800,2250,1022.58
94917,1421960400,2341,1022.79
94918,1421964000,2361,1023.16
94919,1421967600,2352,1023.77
94920,1421971200,2282,1023.77
94921,1421974800,2326,1023.73
94922,1421978400,2364,1023.8
94923,1421982000,2345,1024.18
94924,1421985600,2327,1024.18
94925,1421989200,2331,1024.11
94926,1421992800,2281,1024.85
94927,1421996400,2352,1025.19
94928,1422000000,2336,1025.87
94929,1422003600,2247,1025.7
94930,1422007200,2335,1025.29
94931,1422010800,2211,1025.53
94932,1422014400,2112,1025.06
94933,1422018000,2274,1025.02
94934,1422021600,2263,1025.16
94935,1422025200,2273,1024.85
94936,1422028800,2284,1024.85
94937,1422032400,2417,1024.45
94938,1422036000,2293,1024.07
94939,1422039600,2283,1023.84
